path	family	source	license	page_count	features	notes
fixtures/generated/browser-print-raster-vector-mix.pdf	browser-raster-vector	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	browser-print,image,vector,chart,expected:native	Existing browser-print mixed raster/vector content fixture.
fixtures/generated/high-dpi-preview-fidelity.pdf	high-dpi-preview	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	high-dpi,preview,vector,text,image,transparency,expected:native	Existing high-DPI preview fixture with fine linework, scaled image, and alpha overlay.
fixtures/generated/image-heavy-rotated-mask-sheet.pdf	rotated-soft-mask-image	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	image-heavy,soft-mask,rotation,flate,expected:native	Existing image-heavy sheet fixture with rotated masked image placements.
fixtures/generated/map-transparent-zoning-overlay.pdf	map-overlay	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	map,transparency,zoning,grid,route,labels,expected:native	Existing map fixture with transparent zoning overlays over vector grid and routes.
fixtures/generated/office-vector-clipped-transparency-group.pdf	office-clipped-transparency	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	office-export,vector,clipping,transparency-group,expected:native	Existing office-style clipped transparency group fixture.
fixtures/generated/office-vector-repeated-effects.pdf	office-repeated-effects	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	office-export,vector,repeated-effects,transparency,expected:native	Existing repeated decorative office vector effects fixture.
fixtures/generated/slide-layered-image-shadow.pdf	slide-layered-image	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	presentation,slide,image,shadow,transparency,text,expected:native	Existing slide fixture with scaled image, translucent tint overlay, soft shadow block, and text.
fixtures/generated/soft-mask-image.pdf	image-soft-mask	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	image,soft-mask,alpha,expected:native	Existing image soft-mask alpha fixture.
