path	family	source	license	page_count	features	notes
fixtures/generated/e-signature-contract-workflow.pdf	contract-workflow	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	e-signature,contract,signature,stamp,initials,date-field,appearance,byterange,expected:native	Generated e-signature contract workflow fixture with visible signature widget and stamp appearance.
fixtures/generated/e-signature-audit-certificate.pdf	audit-trail	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	e-signature,audit-trail,certificate,stamp,qr,expected:native	Generated e-signature completion certificate with audit event table and QR-style marker.
fixtures/generated/e-signature-incremental-revision.pdf	incremental-signature	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	e-signature,incremental-update,signature,appearance,byterange,expected:native	Generated incrementally updated e-signature workflow fixture with latest signed revision.
fixtures/generated/digital-signature-appearance.pdf	signature-appearance	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,signature,appearance,byterange,expected:native	Existing visible digital signature appearance fixture with ByteRange metadata.
fixtures/generated/acroform-signature-placeholder.pdf	signature-appearance	scripts/generate_fixtures.py	MIT OR Apache-2.0	1	acroform,signature,appearance,expected:native	Existing signature placeholder widget appearance baseline.
